2022-05-05 21:36:20 [INFO ] c.p.r.NativeLoader:64 - ********************************
2022-05-05 21:36:20 [INFO ] c.p.r.NativeLoader:65 - Native library search paths: 
2022-05-05 21:36:20 [INFO ] c.p.r.NativeLoader:948 - C:\Users\Mohamed_Hossam\AppData\Roaming\PVS-Studio-Java\7.18.59860
2022-05-05 21:36:20 [INFO ] c.p.r.NativeLoader:948 - .
2022-05-05 21:36:20 [INFO ] c.p.r.NativeLoader:948 - C:\Users\Mohamed_Hossam\AppData\Roaming\PVS-Studio-Java\7.18.59860\..
2022-05-05 21:36:20 [INFO ] c.p.r.NativeLoader:948 - C:\Users\Mohamed_Hossam\AppData\Roaming\PVS-Studio-Java\7.18.59860\..\..
2022-05-05 21:36:20 [INFO ] c.p.r.NativeLoader:948 - C:\Users\Mohamed_Hossam\AppData\Roaming\PVS-Studio-Java\7.18.59860\..\..\build
2022-05-05 21:36:20 [INFO ] c.p.r.NativeLoader:67 - Additional path: native/win
2022-05-05 21:36:20 [INFO ] c.p.r.NativeLoader:76 - Native library found: C:\Users\Mohamed_Hossam\AppData\Roaming\PVS-Studio-Java\7.18.59860\native\win\analysis-core.dll
2022-05-05 21:36:20 [INFO ] c.p.r.NativeLoader:77 - ********************************
2022-05-05 21:36:24 [INFO ] c.p.p.JsonEvaluator:49 - Module: Topology_API
2022-05-05 21:36:24 [INFO ] c.p.p.JsonEvaluator:50 - Sources:
2022-05-05 21:36:24 [INFO ] c.p.p.JsonEvaluator:52 - Classpath:
2022-05-05 21:36:24 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-17.0.2!/jdk.jcmd
2022-05-05 21:36:24 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-17.0.2!/jdk.internal.jvmstat
2022-05-05 21:36:24 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-17.0.2!/jdk.net
2022-05-05 21:36:24 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-17.0.2!/jdk.jdwp.agent
2022-05-05 21:36:24 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-17.0.2!/java.security.sasl
2022-05-05 21:36:24 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-17.0.2!/jdk.nio.mapmode
2022-05-05 21:36:24 [INFO ] c.p.p.JsonEvaluator:75 - C:/Program Files/Java/jdk-17.0.2!/java.se
